"TIME","GEO","UNIT","SEX","AGE","ICD10","Value","Flag and Footnotes"
"2003","Croatia","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","26 519",""
"2003","Croatia","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","26 056",""
"2003","Italy","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","588 897",""
"2003","Italy","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","289 826",""
"2003","Italy","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","299 071",""
"2003","Cyprus","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","5 200",""
"2003","Cyprus","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","2 764",""
"2003","Cyprus","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","2 436",""
"2003","Latvia","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","32 437",""
"2003","Latvia","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","15 893",""
"2003","Latvia","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","16 544",""
"2003","Lithuania","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","40 990",""
"2003","Lithuania","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","21 859",""
"2003","Lithuania","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","19 131",""
"2003","Luxembourg","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","3 930",""
"2003","Luxembourg","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","1 925",""
"2003","Luxembourg","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","2 005",""
"2003","Hungary","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","135 823",""
"2003","Hungary","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","70 016",""
"2003","Hungary","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","65 807",""
"2003","Malta","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","3 164",""
"2003","Malta","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","1 595",""
"2003","Malta","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","1 569",""
"2003","Netherlands","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","141 936",""
"2003","Netherlands","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","69 012",""
"2003","Netherlands","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","72 924",""
"2003","Austria","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","77 209",""
"2003","Austria","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","35 448",""
"2003","Austria","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","41 761",""
"2003","Poland","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","365 230",""
"2003","Poland","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","193 910",""
"2003","Poland","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","171 320",""
"2003","Portugal","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","109 148",""
